id,identifier,session_count,language,timezone,game_version,device_os,device_type,device_model,ad_id,tags,last_active,playtime,amount_spent,created_at,invalid_identifier,badge_count,lat,lon,rooted,ip,country,web_auth,web_p256
8b481d8c-c8c4-4fdc-a0fd-69c2aaa7f281,672f9f2969537f9e199b1e6eaabc6acf55dd6ee7f0b121f8e0e34aee8e36353b,13,es,-18000,0.5.23,12.1,0,"iPhone7,2",DEA4463D-3464-472C-BF7E-A1D95BC95884,{},2018-11-19 23:58:18,1661,0.00,2018-11-02 18:07:30.00585,f,0,,,f,179.6.212.181,PE,,
9d15bd02-e3c5-4330-84f4-0fa4e165fd81,8d4e7201f1faeb2683a86811f965898a1a5f3feb0c174208dcfb62605fe9da92,8,es,-18000,0.5.10,11.4,0,"iPhone7,2",37B9B0B0-78D5-443D-9D87-A5C3ECEDB86D,{},2018-07-10 19:31:41.811466,558,0.00,2018-04-26 16:14:16.022233,f,0,,,f,190.63.255.197,EC,,
9ad709d5-b528-477d-9dac-e3865ea9f3cf,APA91bGPy4oaZL9vp9AUKua7Fz254L6GFoe66fxC8rof87qUl9ftvtoEb7Lx74sL34Is81ztxss3ErmPKFG_jrQ0caSdUSqOkyDWw0RLE5nbt73sxRARfs7vRge-LQC8dOtcNoeHQA-L,71,es,-18000,520,5.0.1,1,GT-I9500,2fc4e7b2-b82d-4b24-a3dc-1211c37d80bb,{},2018-07-05 01:56:50.4985,4243,0.00,2018-06-04 23:18:35.653396,f,0,,,f,181.199.32.62,EC,,
92e50985-bee1-4218-bc16-d9f3ab52ac1d,APA91bEwyoWpqS83M0EMe3fG53L73lfrDt0d-kNbGyZzThWJeGMpMKHOkkCKz516nXqxzo_J3JEZ_ZCZpmuL2DZrlgxrkEwk4L9oYXef0jjbB2nbI2Cj0T6x5p8XB86Rpk4szYsZmtV8,41,es,-18000,523,8.0.0,1,SM-G955F,e253bdb9-c2dc-4da6-a090-555201a81f4e,{},2018-09-22 19:19:23,2997,0.00,2018-07-05 16:26:29.662447,f,0,,,f,190.95.131.178,EC,,
90f8a5bb-b2a8-41fe-907f-4990737644b6,APA91bHOUmCVyWMNgOtjSBhc_v-IuPSqdUfVYkQvupm88ZTbSdi2CBmGUuhEFUvisGVzgvdJQeXPttjShqAe9meZOIU4VBwr2bj-tD_j9S7XT0mlC_KSeIAiVGH4yJ-3-JtYw0F4dFF4,31,es,-18000,520,7.0,1,HUAWEI VNS-L23,f856aa4d-aa38-473f-b124-670d808af97a,{},2018-07-30 23:25:54,6420,0.00,2018-02-20 16:18:48.387753,t,0,,,f,190.236.10.197,PE,,
92443649-f953-4510-bf99-f01387602fec,9186e5ad4b8e37ab67acdf814f66722d67c8f9858905d93c5c99e46534824e75,18,es,-18000,0.5.22,12.1,0,"iPhone7,2",228A2697-99D4-4D9B-9D10-28DBF650DF8B,{},2018-11-20 21:55:57,552,0.00,2018-08-03 20:29:55.451504,f,0,,,f,186.101.255.2,EC,,
9feece41-606e-4012-98ab-ffd89b3acccd,APA91bHGJGKzv4uw17VTdWoGw5wNcN5IH_Gj8X1aPs_qnddYl35e86FcXFTsGhLsIOJqhW7DF2g_F0BbCDRDzBKhS0JjH0oBnoeUDcfQ2c8TeKCgGMT7X7dHEA0O00dpkzEjdahpDvXG,1,en,19800,520,6.0.1,1,vivo 1606,1b9e59f2-ea3b-40e4-918c-0d4dc127eb4e,{},2018-09-16 09:03:35,113,0.00,2018-09-16 09:02:29.498938,t,0,,,f,223.176.8.136,IN,,
9a1014cf-0496-4762-90c7-299751393de1,10e793a6694960ae30c4241c9cdbdd814a574ce662357882dcda5102fa330d6b,62,es,-18000,0.5.3,11.4.1,0,"iPhone6,1",51600C0B-A600-4F16-B2FD-2D3589661FED,{},2018-09-24 18:55:44,5267,0.00,2018-03-15 18:03:03.734388,f,0,,,f,2800:370:6a:cfb0:b4:134d:b84d:4806,EC,,
96fe2e89-1062-4352-899b-dbece32e942d,APA91bFtfBghEqDWvvVM7aIvMqRFsT98_Bg0jNMsE95O7f6wvAejd2dyZTO3nSN9GYEtSl8A86JMm9eL35Tr0uyhjweXQXDJXOc19eb7nTNkWwbK5HaDbL3QqsOgM_2X8INzYU3-hDrR,10,es,-18000,523,7.0,1,Moto G (5),011e7ae1-2cd4-46dc-9d46-a556a462bda9,{},2018-11-10 22:11:10,2448,0.00,2018-02-21 01:36:27.853296,f,0,,,f,2800:200:e800:4bcd:6c88:3318:2f0a:1e6d,PE,,
998925aa-cdef-435e-87c4-7bc2ce273d4e,APA91bE2lQZ845gUBBq5cKyByOChNx8hsVG7rcygehGxsUO1G9U3pxINb2jtgvth69xv1U3OdXrViFLeObSjlmEE9fo_oTVwCcd95g-ll6cWvwPXapN_BoU9D9-kHyAKUkzZsMtJGFnd,85,es,-18000,523,7.0,1,SM-J701M,9e11ac8a-76ee-44f5-964d-6d30d1be45e3,{},2018-10-23 03:21:34,5002,0.00,2018-08-29 12:57:47.038058,t,0,,,f,190.238.163.82,PE,,
a25d56ff-1ae2-4ab5-aa57-d40659248b0f,5b5be6c6724e855a5616a50c993df6055d7d4e83761baace900f3992773ff595,14,es,-18000,0.5.3,11.4.1,0,"iPhone9,3",DAC6E164-AE56-4FAD-81B3-D7E15BFED0AF,{},2018-09-22 23:53:12,379,0.00,2018-03-20 21:13:51.496947,t,0,,,f,132.191.0.140,PE,,
a2dd6a07-41b4-4a1e-8d21-e4a308400f3e,,6,es,-18000,401,7.0,1,SM-G570M,a4948557-1308-45c6-b07e-012e145c48b6,{},2018-03-01 21:36:30.70744,3625,0.00,2018-02-20 17:58:40.947637,t,0,,,f,200.37.90.90,PE,,
add29766-ef95-4609-89ef-fbbc0ea6a3bf,4fc6b87e026e1c68d72c58ad1211f68d4cbdb02d606b5bed248cfe36940d95f3,1,en,-18000,0.1.8,10.3.3,0,"iPhone5,3",ABF883E6-70A6-4F6C-B1EA-BB154C9C181B,{},2018-02-19 17:27:01.22179,63,0.00,2018-02-19 17:25:58.919968,f,0,,,f,190.234.105.2,PE,,
a8a004ca-c707-4990-9903-4901eb21fa61,d10c23009e57edbfcc805ea9d8e9ca47c03ef4c3334bd6c0682d21635ed394d8,78,es,-18000,0.5.20,10.3.3,0,"iPhone5,1",177CC04F-7B81-4D28-A035-FB9A0BDA56AA,{},2018-10-05 23:51:51,14418,0.00,2018-02-28 20:52:01.236638,f,0,,,f,186.71.241.121,EC,,
